全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係
553,10,10,0,5,16,4.515283843,3.7,4.434,3.8,4.611413043,4.2,8.473779385,311,68,0.439421338,4,2,0.2,0.016274864,0.144665461,0.175406872,0.193490054,0.256781194,0.160940326,0.05244123,0,0,0,0.408679928,0.576853526,0.38517179,0.318264015,0.066907776,0.081374322,0.148282098,0.216998192,0.075949367,0.151898734,0.247739602,0.009041591,0,0.084990958,0.018083183,0.081374322,0.023508137,0.001808318,0,0.144665461,0.175406872,0.623869801,0.128390597,0,0,0,0.077757685,0,0,0,0,0,0,0.03074141,0,0.048824593
106,1,0,,23,36,4.465116279,5,4.510204082,5,4.6,5,8.5,61,15,0.433962264,1,0,1,0.018867925,0.150943396,0.150943396,0.235849057,0.216981132,0.20754717,0.018867925,0,0,0,0.245283019,0.726415094,0.452830189,0.29245283,0.103773585,0.037735849,0.113207547,0.094339623,0.122641509,0.160377359,0.339622642,0.009433962,0,0.122641509,0.018867925,0.018867925,0.028301887,0,0,0.056603774,0.150943396,0.70754717,0.169811321,0,0,0,0.047169811,0,0,0,0,0,0,0.018867925,0,0.047169811
225,43,34,0.264705882,11,4,4.465686275,4.11627907,4.425233645,4.255813953,4.666666667,4.558139535,8.724444444,131,14,0.52,25,2,0.534883721,0.022222222,0.164444444,0.177777778,0.195555556,0.244444444,0.177777778,0.013333333,0.004444444,0,0,0.364444444,0.617777778,0.413333333,0.28,0.093333333,0.106666667,0.106666667,0.248888889,0.062222222,0.106666667,0.262222222,0.008888889,0.004444444,0.111111111,0.048888889,0.035555556,0.013333333,0,0.008888889,0.164444444,0.168888889,0.666666667,0.071111111,0,0,0,0.048888889,0,0,0,0,0,0,0,0,0.088888889
889,36,21,0.714285714,2,7,4.391549296,3.388888889,4.408190225,3.777777778,4.584175084,4.444444444,8.067491564,406,173,0.262092239,15,6,0.25,0.029246344,0.18447694,0.204724409,0.178852643,0.236220472,0.139482565,0.026996625,0,0,0,0.338582677,0.6287964,0.345331834,0.331833521,0.102362205,0.120359955,0.100112486,0.195725534,0.112485939,0.13048369,0.253093363,0.003374578,0.001124859,0.118110236,0.014623172,0.065241845,0.015748032,0.001124859,0,0.190101237,0.131608549,0.664791901,0.094488189,0,0,0,0.071991001,0,0,0,0,0,0,0.010123735,0,0.034870641
88,4,1,3,27,23,4.426666667,4.75,4.45,4.75,4.558139535,4.75,8.363636364,46,12,0.386363636,4,0,1,0.045454545,0.159090909,0.136363636,0.238636364,0.170454546,0.204545455,0.045454545,0,0,0,0.386363636,0.602272727,0.340909091,0.329545455,0.159090909,0.113636364,0.056818182,0.102272727,0.147727273,0.113636364,0.375,0,0,0.125,0.022727273,0.034090909,0,0,0,0.215909091,0.204545455,0.613636364,0.090909091,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0.022727273
66,1,0,,36,37,4.410714286,4,4.440677966,0,4.527777778,4,7.166666667,18,21,-0.045454545,0,1,-1,0,0.166666667,0.272727273,0.121212121,0.303030303,0.136363636,0,0,0,0,0.333333333,0.636363636,0.287878788,0.439393939,0.136363636,0.045454545,0.090909091,0.166666667,0.075757576,0.106060606,0.409090909,0,0,0.121212121,0.015151515,0.045454545,0.045454545,0,0,0.196969697,0.151515152,0.712121212,0.075757576,0,0,0,0.015151515,0,0,0,0,0,0,0.015151515,0,0.015151515
87,1,4,-0.75,28,38,4.5875,5,4.583333333,5,4.714285714,5,8.528735632,49,9,0.459770115,1,0,1,0.034482759,0.24137931,0.183908046,0.218390805,0.264367816,0.057471264,0,0,0,0,0.356321839,0.643678161,0.298850575,0.425287356,0.045977011,0.103448276,0.126436782,0.172413793,0.137931035,0.16091954,0.24137931,0.011494253,0,0.149425287,0,0.057471264,0.011494253,0,0,0.229885058,0.183908046,0.781609195,0.08045977,0,0,0,0.011494253,0,0,0,0,0,0,0,0,0.022988506
73,4,4,0,32,24,4.451612903,3.75,4.47826087,4.75,4.628571429,4.75,8.191780822,33,12,0.287671233,3,0,0.75,0,0.178082192,0.164383562,0.178082192,0.273972603,0.191780822,0.01369863,0,0,0,0.328767123,0.657534247,0.301369863,0.219178082,0.123287671,0.123287671,0.232876712,0.178082192,0.082191781,0.205479452,0.301369863,0,0,0.054794521,0.02739726,0.123287671,0,0,0,0.191780822,0.232876712,0.561643836,0.095890411,0,0,0,0.178082192,0,0,0,0,0,0,0.02739726,0,0.109589041
955,5,5,0,1,21,4.648837209,3.6,4.700455581,4.4,4.600441501,3.4,8.614659686,594,112,0.504712042,2,1,0.2,0.041884817,0.208376963,0.162303665,0.20104712,0.218848168,0.137172775,0.020942408,0.007329843,0.00104712,0.00104712,0.365445026,0.605235602,0.273298429,0.259685864,0.102617801,0.127748691,0.236649215,0.191623037,0.07539267,0.146596859,0.168586387,0.008376963,0,0.112041885,0.011518325,0.128795812,0.052356021,0,0,0.164397906,0.115183246,0.459685864,0.023036649,0,0,0,0.064921466,0,0,0,0,0,0,0.031413613,0,0.039790576
349,39,19,1.052631579,9,6,4.501567398,4.512820513,4.549079755,4.564102564,4.583870968,4.538461538,8.220630372,165,57,0.309455587,20,1,0.487179487,0.028653295,0.246418338,0.151862464,0.163323782,0.200573066,0.157593123,0.051575931,0,0,0,0.461318052,0.510028653,0.326647565,0.303724928,0.106017192,0.085959885,0.17765043,0.246418338,0.126074499,0.131805158,0.266475645,0.005730659,0,0.083094556,0.017191977,0.025787966,0.00286533,0,0,0.169054441,0.11747851,0.52722063,0.100286533,0,0,0,0.051575931,0,0,0,0,0,0,0.017191977,0,0.054441261
133,0,0,,20,42,4.369369369,,4.475,,4.474576271,,7.954887218,58,25,0.248120301,0,0,,0,0.180451128,0.187969925,0.195488722,0.240601504,0.165413534,0.030075188,0,0,0,0.390977444,0.593984962,0.360902256,0.172932331,0.082706767,0.097744361,0.285714286,0.270676692,0.105263158,0.097744361,0.308270677,0.007518797,0,0.090225564,0.007518797,0.037593985,0.030075188,0,0,0.165413534,0.120300752,0.511278196,0.07518797,0,0,0,0.030075188,0,0,0,0,0,0,0.015037594,0,0.007518797
47,0,0,,48,43,4.511627907,,4.466666667,,4.514285714,,8.212765957,20,5,0.319148936,0,0,,0.021276596,0.127659575,0.234042553,0.29787234,0.127659575,0.14893617,0.042553191,0,0,0,0.531914894,0.468085106,0.276595745,0.361702128,0.042553191,0.14893617,0.170212766,0.127659575,0.085106383,0.106382979,0.234042553,0,0,0.063829787,0.021276596,0.212765957,0.063829787,0,0,0.085106383,0.276595745,0.489361702,0.063829787,0,0,0,0.085106383,0,0,0,0,0,0,0.085106383,0,0.042553191
