施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
金沢城公園,565,13,13,0,5,19,4.501066098,3.615384615,4.426614481,3.846153846,4.605263158,4.384615385,8.454867257,316,71,0.4336283186,5,3,0.1538461538,0.01769911504,0.1469026549,0.1734513274,0.1911504425,0.2584070796,0.1610619469,0.05132743363,0,0,0,0.4088495575,0.5769911504,0.3805309735,0.3203539823,0.07079646018,0.0814159292,0.1469026549,0.2123893805,0.07787610619,0.1486725664,0.2442477876,0.008849557522,0,0.08672566372,0.01769911504,0.08318584071,0.02300884956,0.001769911504,0,0.1451327434,0.1734513274,0.6212389381,0.1292035398,0,0,0,0.07610619469,0,0,0,0,0,0,0.03185840708,0,0.04778761062,0.05840707965,0.05840707965,0.09026548673,0.1185840708,0.1522123894,0.1150442478,0.0796460177,0.0796460177,0.04424778761,0.06194690265,0.06371681416,0.02477876106,0.05309734513,0.01592920354,0.001769911504,0.003539823009,0.008849557522,0,0.003539823009,0.007079646018,0.02123893805,0.02300884956,0.01415929204,0.06194690265,0.07433628319,0.1575221239,0.06548672566,0.01769911504,0.03185840708,0.07787610619,0.01415929204,0.005309734513,0.01415929204,0.02477876106,0.03362831858,0.08318584071,0.01415929204,0.01415929204,0.02654867257,0.07787610619,0.05309734513,0.008849557522,0,0.001769911504,0,0.005309734513,0.001769911504,0.001769911504,0.001769911504,0,0.003539823009,0,0.01238938053,0.001769911504,0,0,0.007079646018,0,0,0.007079646018
兼六園,108,2,1,1,24,39,4.477272727,5,4.52,5,4.621621622,5,8.509259259,62,15,0.4351851852,1,0,0.5,0.01851851852,0.1666666667,0.1481481481,0.2314814815,0.212962963,0.2037037037,0.01851851852,0,0,0,0.2407407407,0.7314814815,0.462962963,0.287037037,0.1018518519,0.03703703704,0.1111111111,0.09259259259,0.1203703704,0.1574074074,0.3425925926,0.009259259259,0,0.1296296296,0.01851851852,0.01851851852,0.02777777778,0,0,0.05555555556,0.1481481481,0.7037037037,0.1666666667,0,0,0,0.0462962963,0,0,0,0,0,0,0.01851851852,0,0.0462962963,0.02777777778,0.05555555556,0.1203703704,0.1111111111,0.1018518519,0.1296296296,0.1018518519,0.07407407407,0.05555555556,0.06481481481,0.1018518519,0.0462962963,0.009259259259,0.01851851852,0,0,0.009259259259,0.009259259259,0,0,0.009259259259,0.02777777778,0.01851851852,0.07407407407,0.09259259259,0.1759259259,0.1296296296,0.009259259259,0.02777777778,0.07407407407,0,0.009259259259,0.02777777778,0.01851851852,0.009259259259,0.0462962963,0.01851851852,0.009259259259,0.02777777778,0.0462962963,0.009259259259,0.009259259259,0.009259259259,0,0,0,0.009259259259,0,0.009259259259,0,0,0,0.02777777778,0,0.009259259259,0,0.01851851852,0,0,0.009259259259
金沢駅,247,43,45,-0.04444444444,11,6,4.462222222,4.279069767,4.427350427,4.255813953,4.647540984,4.395348837,8.704453441,144,16,0.5182186235,25,2,0.5348837209,0.03238866397,0.1619433198,0.1659919028,0.2105263158,0.2307692308,0.1821862348,0.01214574899,0.004048582996,0,0,0.3724696356,0.6072874494,0.4129554656,0.2834008097,0.0971659919,0.1012145749,0.1052631579,0.2348178138,0.06072874494,0.1093117409,0.2631578947,0.01214574899,0.004048582996,0.1174089069,0.04858299595,0.03643724696,0.01214574899,0,0.008097165992,0.1700404858,0.1700404858,0.6558704453,0.06882591093,0,0,0,0.04858299595,0,0,0,0,0,0,0,0,0.0971659919,0.06477732794,0.05668016194,0.06072874494,0.07287449393,0.1255060729,0.1214574899,0.09311740891,0.07692307692,0.08502024291,0.04048582996,0.08502024291,0.05668016194,0.06072874494,0.004048582996,0,0.01619433198,0,0,0.008097165992,0.004048582996,0.01214574899,0.004048582996,0.01214574899,0.05668016194,0.03643724696,0.2024291498,0.08906882591,0.004048582996,0.03238866397,0.02834008097,0.008097165992,0,0.05263157895,0.01214574899,0.01619433198,0.06882591093,0.004048582996,0.004048582996,0.02834008097,0.1538461538,0.04858299595,0.01214574899,0.008097165992,0,0,0.01619433198,0.03238866397,0,0,0,0,0,0.008097165992,0.004048582996,0.004048582996,0,0,0,0.004048582996,0.004048582996
金沢中央観光案内所,903,30,29,0.03448275862,2,10,4.391966759,3.233333333,4.408322497,3.633333333,4.584843493,4.366666667,8.070874862,413,175,0.2635658915,12,6,0.2,0.02990033223,0.1860465116,0.2026578073,0.1794019934,0.2369878184,0.138427464,0.02657807309,0,0,0,0.3366555925,0.6312292359,0.3455149502,0.3333333333,0.1007751938,0.1196013289,0.1007751938,0.1949058693,0.1129568106,0.1284606866,0.2524916944,0.003322259136,0.001107419712,0.1184939092,0.01439645626,0.06644518272,0.01550387597,0.001107419712,0,0.1882613511,0.130675526,0.6633444075,0.09413067553,0,0,0,0.07087486157,0,0,0,0,0,0,0.009966777409,0,0.03433001107,0.07198228128,0.03433001107,0.06866002215,0.1295681063,0.1262458472,0.1096345515,0.08637873754,0.05758582503,0.0553709856,0.0642303433,0.09302325581,0.03875968992,0.0642303433,0.01107419712,0.003322259136,0.007751937984,0.01550387597,0.002214839424,0.007751937984,0.003322259136,0.02214839424,0.01328903654,0.009966777409,0.05204872647,0.05094130676,0.227021041,0.09413067553,0.01107419712,0.02657807309,0.05094130676,0.00553709856,0.002214839424,0.006644518272,0.01661129568,0.02547065338,0.06201550388,0.008859357697,0.008859357697,0.03986710963,0.09413067553,0.03875968992,0.01439645626,0.007751937984,0.001107419712,0.002214839424,0.006644518272,0.00553709856,0.002214839424,0.001107419712,0.003322259136,0.002214839424,0.002214839424,0.01328903654,0.002214839424,0.001107419712,0.006644518272,0.003322259136,0.002214839424,0.002214839424,0.002214839424
長町武家屋敷休憩館,90,3,4,-0.25,28,35,4.415584416,4.333333333,4.43902439,4.333333333,4.555555556,4.666666667,8.333333333,46,13,0.3666666667,1,1,0,0.04444444444,0.1555555556,0.1555555556,0.2333333333,0.1666666667,0.2,0.04444444444,0,0,0,0.3888888889,0.6,0.3333333333,0.3222222222,0.1777777778,0.1111111111,0.05555555556,0.1,0.1444444444,0.1111111111,0.3888888889,0,0,0.1222222222,0.02222222222,0.03333333333,0,0,0,0.2111111111,0.2111111111,0.6222222222,0.08888888889,0,0,0,0.01111111111,0,0,0,0,0,0,0,0,0.02222222222,0.06666666667,0.02222222222,0.06666666667,0.1222222222,0.1111111111,0.1333333333,0.1,0.05555555556,0.06666666667,0.08888888889,0.08888888889,0.04444444444,0.03333333333,0.04444444444,0.02222222222,0,0,0,0,0,0,0,0.07777777778,0.04444444444,0.1,0.2111111111,0.1111111111,0.02222222222,0.02222222222,0.03333333333,0,0,0.01111111111,0.03333333333,0,0.1,0,0,0.02222222222,0.03333333333,0.04444444444,0.02222222222,0,0.01111111111,0,0,0.01111111111,0,0,0,0,0,0.01111111111,0.01111111111,0,0,0,0,0,0
西茶屋資料館,66,0,1,-1,38,50,4.410714286,,4.440677966,,4.527777778,,7.166666667,18,21,-0.04545454545,0,0,,0,0.1666666667,0.2727272727,0.1212121212,0.303030303,0.1363636364,0,0,0,0,0.3333333333,0.6363636364,0.2878787879,0.4393939394,0.1363636364,0.04545454545,0.09090909091,0.1666666667,0.07575757576,0.1060606061,0.4090909091,0,0,0.1212121212,0.01515151515,0.04545454545,0.04545454545,0,0,0.196969697,0.1515151515,0.7121212121,0.07575757576,0,0,0,0.01515151515,0,0,0,0,0,0,0.01515151515,0,0.01515151515,0.01515151515,0.0303030303,0.1060606061,0.06060606061,0.1060606061,0.1515151515,0.04545454545,0.04545454545,0.0303030303,0.1060606061,0.1515151515,0.09090909091,0.06060606061,0,0,0,0,0,0.01515151515,0,0,0.04545454545,0,0.09090909091,0.09090909091,0.3181818182,0.06060606061,0.04545454545,0.01515151515,0.01515151515,0.0303030303,0.01515151515,0,0,0,0.04545454545,0,0.0303030303,0.04545454545,0.04545454545,0.04545454545,0.01515151515,0,0,0,0.01515151515,0,0,0,0,0,0,0,0,0,0.01515151515,0,0,0,0
ひがし茶屋休憩館,88,1,1,0,29,41,4.580246914,4,4.588235294,5,4.719298246,5,8.522727273,49,9,0.4545454545,0,0,0,0.03409090909,0.2386363636,0.1818181818,0.2159090909,0.2727272727,0.05681818182,0,0,0,0,0.3522727273,0.6477272727,0.3068181818,0.4204545455,0.04545454545,0.1022727273,0.125,0.1704545455,0.1363636364,0.1590909091,0.2386363636,0.01136363636,0,0.1477272727,0,0.05681818182,0.01136363636,0,0,0.2272727273,0.1931818182,0.7840909091,0.07954545455,0,0,0,0.01136363636,0,0,0,0,0,0,0,0,0.02272727273,0.09090909091,0.03409090909,0.07954545455,0.09090909091,0.1931818182,0.05681818182,0.07954545455,0.07954545455,0.03409090909,0.09090909091,0.06818181818,0.04545454545,0.05681818182,0.02272727273,0,0,0,0,0.01136363636,0,0.02272727273,0,0.01136363636,0.05681818182,0.06818181818,0.1818181818,0.1363636364,0.03409090909,0.01136363636,0.02272727273,0.01136363636,0.01136363636,0.02272727273,0.01136363636,0.03409090909,0.06818181818,0,0.01136363636,0.03409090909,0.1136363636,0.01136363636,0.01136363636,0,0,0,0,0.04545454545,0,0,0,0,0,0.02272727273,0,0,0,0,0,0,0.01136363636
石川県政記念しいのき迎賓館,84,13,3,3.333333333,30,20,4.464788732,3.923076923,4.481012658,4.230769231,4.608695652,4.615384615,8.154761905,38,14,0.2857142857,7,2,0.3846153846,0,0.1666666667,0.1666666667,0.2023809524,0.2619047619,0.1904761905,0.0119047619,0,0,0,0.3452380952,0.630952381,0.3095238095,0.2380952381,0.130952381,0.1071428571,0.2142857143,0.1666666667,0.1071428571,0.1785714286,0.2976190476,0,0,0.04761904762,0.02380952381,0.119047619,0,0,0,0.1904761905,0.2142857143,0.6071428571,0.1071428571,0,0,0,0.1666666667,0,0,0,0,0,0,0.03571428571,0,0.09523809524,0.05952380952,0.02380952381,0.07142857143,0.1071428571,0.07142857143,0.09523809524,0.1071428571,0.08333333333,0.07142857143,0.08333333333,0.09523809524,0.02380952381,0.1071428571,0.0119047619,0,0,0,0.0119047619,0,0,0.0119047619,0,0.03571428571,0.05952380952,0,0.130952381,0.05952380952,0.0119047619,0.08333333333,0.2619047619,0,0,0,0,0,0.05952380952,0.0119047619,0,0.05952380952,0.1071428571,0.02380952381,0,0,0,0,0.02380952381,0.0119047619,0,0,0.0119047619,0,0,0.0119047619,0,0,0,0,0,0,0
石川県立図書館,958,7,1,6,1,25,4.650057937,4,4.701475596,4.571428571,4.601760176,3.857142857,8.618997912,597,112,0.506263048,4,1,0.4285714286,0.04175365344,0.2077244259,0.1638830898,0.2004175365,0.2181628392,0.1377870564,0.02087682672,0.007306889353,0.001043841336,0.001043841336,0.3653444676,0.6054279749,0.2724425887,0.260960334,0.1022964509,0.1283924843,0.235908142,0.1910229645,0.0751565762,0.1461377871,0.1691022965,0.008350730689,0,0.111691023,0.0114822547,0.1294363257,0.05219206681,0,0,0.1638830898,0.1158663883,0.4603340292,0.02296450939,0,0,0,0.06471816284,0,0,0,0,0,0,0.03131524008,0,0.03966597077,0.06471816284,0.03235908142,0.06576200418,0.1012526096,0.1169102296,0.139874739,0.08559498956,0.06576200418,0.08037578288,0.05741127349,0.09081419624,0.0490605428,0.05010438413,0.02296450939,0.002087682672,0.001043841336,0.006263048017,0.001043841336,0,0.006263048017,0.008350730689,0.01043841336,0.008350730689,0.05427974948,0.02922755741,0.1565762004,0.09081419624,0.01878914405,0.06576200418,0.1753653445,0.02505219207,0.001043841336,0.02505219207,0.02192066806,0.02087682672,0.05636743215,0.0114822547,0.01043841336,0.02296450939,0.05949895616,0.03444676409,0.005219206681,0.002087682672,0,0.004175365344,0.005219206681,0.008350730689,0,0.001043841336,0.001043841336,0.002087682672,0,0.007306889353,0.006263048017,0.004175365344,0.001043841336,0.003131524008,0,0.002087682672,0
石川県立歴史博物館,376,43,31,0.3870967742,8,7,4.505813953,4.372093023,4.555555556,4.395348837,4.583333333,4.511627907,8.22606383,177,60,0.3111702128,20,4,0.3720930233,0.03191489362,0.2420212766,0.1542553191,0.170212766,0.1968085106,0.1569148936,0.04787234043,0,0,0,0.4654255319,0.5079787234,0.3271276596,0.3111702128,0.09840425532,0.08776595745,0.1755319149,0.2526595745,0.125,0.1223404255,0.2659574468,0.005319148936,0,0.08776595745,0.01595744681,0.03191489362,0.002659574468,0,0,0.1675531915,0.1196808511,0.5372340426,0.09308510638,0,0,0,0.05053191489,0,0,0,0,0,0,0.01861702128,0,0.05053191489,0.05053191489,0.05319148936,0.08510638298,0.1329787234,0.1303191489,0.09042553191,0.0664893617,0.04787234043,0.05053191489,0.06382978723,0.08244680851,0.05053191489,0.09574468085,0.01329787234,0.002659574468,0.002659574468,0,0.005319148936,0.005319148936,0,0.01595744681,0.005319148936,0.02127659574,0.04787234043,0.05053191489,0.1914893617,0.09840425532,0.005319148936,0.04255319149,0.1090425532,0.01063829787,0.01063829787,0.02393617021,0.01329787234,0.02659574468,0.07180851064,0.01329787234,0.01861702128,0.03457446809,0.07978723404,0.03457446809,0.01063829787,0.005319148936,0,0,0.005319148936,0,0,0,0.01063829787,0,0,0.007978723404,0,0,0,0,0,0,0.005319148936
石川県立美術館,133,0,0,,21,51,4.369369369,,4.475,,4.474576271,,7.954887218,58,25,0.2481203008,0,0,,0,0.1804511278,0.1879699248,0.1954887218,0.2406015038,0.1654135338,0.03007518797,0,0,0,0.3909774436,0.5939849624,0.3609022556,0.1729323308,0.08270676692,0.0977443609,0.2857142857,0.2706766917,0.1052631579,0.0977443609,0.3082706767,0.007518796992,0,0.09022556391,0.007518796992,0.03759398496,0.03007518797,0,0,0.1654135338,0.1203007519,0.5112781955,0.07518796992,0,0,0,0.03007518797,0,0,0,0,0,0,0.01503759398,0,0.007518796992,0.03007518797,0.03759398496,0.1052631579,0.1052631579,0.1127819549,0.08270676692,0.1127819549,0.1052631579,0.04511278195,0.07518796992,0.0977443609,0.04511278195,0.04511278195,0.02255639098,0,0,0,0,0,0.007518796992,0.03007518797,0.007518796992,0.007518796992,0.01503759398,0.01503759398,0.1654135338,0.0977443609,0.01503759398,0.08270676692,0.1804511278,0.03759398496,0,0.03759398496,0.02255639098,0.007518796992,0.02255639098,0.01503759398,0.02255639098,0.02255639098,0.03007518797,0.03759398496,0.03759398496,0,0.02255639098,0,0.007518796992,0.007518796992,0.007518796992,0,0,0,0,0.007518796992,0,0,0,0,0,0,0.007518796992
からくり記念館,47,0,0,,50,52,4.511627907,,4.466666667,,4.514285714,,8.212765957,20,5,0.3191489362,0,0,,0.02127659574,0.1276595745,0.2340425532,0.2978723404,0.1276595745,0.1489361702,0.04255319149,0,0,0,0.5319148936,0.4680851064,0.2765957447,0.3617021277,0.04255319149,0.1489361702,0.170212766,0.1276595745,0.08510638298,0.1063829787,0.2340425532,0,0,0.06382978723,0.02127659574,0.2127659574,0.06382978723,0,0,0.08510638298,0.2765957447,0.4893617021,0.06382978723,0,0,0,0.08510638298,0,0,0,0,0,0,0.08510638298,0,0.04255319149,0,0,0.1063829787,0.1063829787,0.08510638298,0.06382978723,0.1063829787,0.1063829787,0.06382978723,0.08510638298,0.170212766,0.06382978723,0.04255319149,0.02127659574,0,0,0,0,0,0,0,0,0,0.04255319149,0.02127659574,0.06382978723,0.02127659574,0.04255319149,0.08510638298,0.08510638298,0,0,0.04255319149,0.04255319149,0.02127659574,0.04255319149,0.08510638298,0.02127659574,0.06382978723,0.1489361702,0.04255319149,0,0,0,0.02127659574,0,0.04255319149,0,0,0,0,0,0,0,0,0,0.02127659574,0.02127659574,0,0
ホテル・トリフィート金沢,139,1,0,,20,42,4.597014925,5,4.591240876,5,4.660550459,5,8.71942446,83,11,0.5179856115,1,0,1,0.007194244604,0.1870503597,0.2230215827,0.1510791367,0.2661870504,0.1438848921,0.02158273381,0,0,0,0.3381294964,0.6474820144,0.4100719424,0.4748201439,0.05755395683,0.05755395683,0,0.09352517986,0.1366906475,0.1223021583,0.2446043165,0,0,0.1366906475,0.02877697842,0.04316546763,0.02158273381,0,0,0.1942446043,0.09352517986,0.7050359712,0.05755395683,0,0,0,0.01438848921,0,0,0,0,0,0,0,0,0.07194244604,0.01438848921,0.02158273381,0.06474820144,0.1510791367,0.1151079137,0.1079136691,0.05035971223,0.05755395683,0.05755395683,0.08633093525,0.1510791367,0.05755395683,0.06474820144,0.02158273381,0.01438848921,0,0.007194244604,0,0,0.01438848921,0,0.01438848921,0.02158273381,0.1007194245,0.07194244604,0.2661870504,0.1007194245,0.02158273381,0,0.05755395683,0,0,0,0.02158273381,0.03597122302,0.05035971223,0.007194244604,0.007194244604,0.01438848921,0.07194244604,0.01438848921,0,0,0,0.01438848921,0.007194244604,0.02158273381,0,0,0,0,0,0.007194244604,0,0,0.007194244604,0.007194244604,0,0,0
ダイワロイネットホテル金沢MIYABI,79,10,0,,33,22,4.662337662,4.1,4.701298701,4.1,4.69047619,4.6,8.860759494,53,6,0.5949367089,4,2,0.2,0,0.1392405063,0.2911392405,0.2278481013,0.253164557,0.06329113924,0.0253164557,0,0,0,0.3544303797,0.6329113924,0.4936708861,0.2658227848,0.1265822785,0.1012658228,0.01265822785,0.1139240506,0.1139240506,0.1012658228,0.2151898734,0,0.01265822785,0.1139240506,0.1139240506,0.1265822785,0.0253164557,0,0,0.2278481013,0.1898734177,0.6582278481,0.07594936709,0,0,0,0.01265822785,0,0,0,0,0,0,0,0,0.1139240506,0.01265822785,0.06329113924,0.05063291139,0.164556962,0.06329113924,0.06329113924,0.08860759494,0.07594936709,0.1012658228,0.05063291139,0.1265822785,0.0253164557,0.1139240506,0.0253164557,0,0,0.05063291139,0,0,0.0253164557,0.05063291139,0.01265822785,0,0.05063291139,0.0253164557,0.2025316456,0.03797468354,0.0253164557,0.01265822785,0.05063291139,0,0,0.0253164557,0.03797468354,0,0.07594936709,0.0253164557,0,0.0253164557,0.07594936709,0.03797468354,0,0,0,0,0.01265822785,0.0253164557,0,0.01265822785,0,0,0.01265822785,0.05063291139,0,0,0,0,0,0.01265822785,0
ホテルインターゲート金沢,52,0,0,,47,53,4.583333333,,4.54,,4.217391304,,8.461538462,28,5,0.4423076923,0,0,,0,0.1153846154,0.1923076923,0.1923076923,0.3076923077,0.1730769231,0.01923076923,0,0,0,0.6923076923,0.2884615385,0.4615384615,0.3461538462,0.07692307692,0.1153846154,0,0.1346153846,0.05769230769,0.1153846154,0.4038461538,0.01923076923,0,0.07692307692,0.1153846154,0.01923076923,0,0,0,0.1538461538,0.09615384615,0.6923076923,0.01923076923,0,0,0,0.01923076923,0,0,0,0,0,0,0.01923076923,0,0.1153846154,0,0.01923076923,0.03846153846,0.07692307692,0.09615384615,0.1346153846,0.1730769231,0.1538461538,0.03846153846,0.09615384615,0.1153846154,0.05769230769,0,0.03846153846,0,0,0,0,0,0.05769230769,0,0.01923076923,0,0.01923076923,0.07692307692,0.07692307692,0.01923076923,0.1153846154,0.01923076923,0.01923076923,0.01923076923,0,0.03846153846,0,0.05769230769,0.07692307692,0.03846153846,0.01923076923,0,0.1538461538,0.03846153846,0,0,0,0,0.03846153846,0,0,0,0,0,0,0.03846153846,0.01923076923,0,0,0,0,0,0
ホテルマイステイズプレミア金沢,82,0,0,,31,54,4.56,,4.581081081,,4.666666667,,8.402439024,46,14,0.3902439024,0,0,,0.03658536585,0.1829268293,0.1951219512,0.1951219512,0.2804878049,0.1097560976,0,0,0,0,0.4512195122,0.5365853659,0.4146341463,0.3658536585,0.06097560976,0.1585365854,0,0.08536585366,0.0487804878,0.08536585366,0.09756097561,0.01219512195,0,0.243902439,0.06097560976,0.1829268293,0.1341463415,0,0,0.2317073171,0.1707317073,0.6097560976,0.08536585366,0,0,0,0.03658536585,0,0,0,0,0,0,0.01219512195,0,0.08536585366,0.0487804878,0.0243902439,0.09756097561,0.08536585366,0.08536585366,0.1219512195,0.08536585366,0.1097560976,0.0243902439,0.08536585366,0.1707317073,0.03658536585,0.0243902439,0.0243902439,0,0,0,0,0,0,0.0243902439,0,0.01219512195,0.0243902439,0.09756097561,0.243902439,0.1219512195,0.01219512195,0,0.06097560976,0,0.01219512195,0.06097560976,0.0243902439,0,0.03658536585,0,0.0243902439,0.03658536585,0.06097560976,0.0243902439,0.01219512195,0,0,0,0.0243902439,0.01219512195,0,0,0,0,0,0.0243902439,0,0,0,0,0,0,0.0243902439
チサンバジェット金沢駅前,206,3,4,-0.25,14,36,4.136363636,1.333333333,4.176100629,2.666666667,4.432989691,4,7.305825243,65,64,0.004854368932,1,1,0,0.009708737864,0.1213592233,0.1941747573,0.2087378641,0.3495145631,0.1019417476,0.0145631068,0,0,0,0.5922330097,0.3834951456,0.3640776699,0.2766990291,0.1310679612,0.2233009709,0.004854368932,0.4514563107,0.04854368932,0.07281553398,0.08737864078,0.02427184466,0,0.03398058252,0.2087378641,0,0.004854368932,0,0,0.07766990291,0.06310679612,0.3689320388,0.03398058252,0,0,0,0.02427184466,0,0,0,0,0,0,0.004854368932,0,0.427184466,0.02427184466,0.03398058252,0.09223300971,0.1019417476,0.1310679612,0.09223300971,0.09708737864,0.1067961165,0.08252427184,0.1116504854,0.08252427184,0.01941747573,0.02427184466,0.01941747573,0,0,0.004854368932,0.0145631068,0.004854368932,0.009708737864,0.01941747573,0,0.004854368932,0.03883495146,0.05339805825,0.1650485437,0.08737864078,0.04854368932,0.02427184466,0.05825242718,0.0145631068,0,0.02912621359,0,0.0145631068,0.04854368932,0.004854368932,0.004854368932,0.05825242718,0.1019417476,0.01941747573,0.0145631068,0.004854368932,0.004854368932,0.004854368932,0.009708737864,0.03398058252,0,0,0.0145631068,0.004854368932,0,0.0145631068,0.009708737864,0.009708737864,0.01941747573,0,0,0.004854368932,0
トリフィートホテル&ポッド金沢百万石通,100,1,0,,27,43,4.404255319,4,4.467391304,5,4.571428571,5,8.49,53,9,0.44,1,0,1,0,0.12,0.18,0.14,0.4,0.15,0.01,0,0,0,0.5,0.5,0.43,0.35,0.07,0.15,0,0.58,0.01,0.17,0.06,0,0,0.02,0.05,0,0.02,0,0,0.13,0.11,0.61,0.1,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.16,0.07,0.06,0.04,0.13,0.11,0.07,0.08,0.08,0.09,0.03,0.07,0.08,0.09,0.01,0,0,0,0.01,0,0,0.04,0.01,0.01,0.03,0.04,0.21,0.08,0,0.02,0.05,0.03,0.01,0.04,0,0,0.14,0.01,0,0.03,0.11,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0.01,0.02,0,0,0,0
金沢東急ホテル,31,1,3,-0.6666666667,66,44,4.548387097,5,4.548387097,4,4.619047619,5,8.419354839,15,4,0.3548387097,0,0,0,0,0.1612903226,0.1290322581,0.2580645161,0.3548387097,0.09677419355,0,0,0,0,0.3870967742,0.5483870968,0.5483870968,0.2903225806,0.06451612903,0,0.09677419355,0.06451612903,0.06451612903,0.1290322581,0.3548387097,0,0,0.1935483871,0,0.06451612903,0.03225806452,0,0,0.3548387097,0.06451612903,0.7419354839,0.1612903226,0,0,0,0,0,0,0,0,0,0,0.06451612903,0,0,0,0.03225806452,0.06451612903,0.06451612903,0.1290322581,0.06451612903,0.09677419355,0.09677419355,0.06451612903,0.03225806452,0.2258064516,0.06451612903,0.06451612903,0.03225806452,0,0,0,0,0,0,0.03225806452,0,0,0,0,0.1290322581,0.1290322581,0,0,0.3870967742,0,0,0.03225806452,0.03225806452,0,0.03225806452,0.03225806452,0.03225806452,0.03225806452,0.03225806452,0.06451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOKOHOTEL Premier 金沢香林坊,595,10,5,1,4,23,4.467532468,4.1,4.47601476,4.1,4.557377049,4.2,8.4,318,70,0.4168067227,3,3,0,0.003361344538,0.1714285714,0.1344537815,0.1915966387,0.2890756303,0.1798319328,0.02857142857,0.001680672269,0,0,0.5075630252,0.4857142857,0.418487395,0.3294117647,0.1193277311,0.131092437,0.001680672269,0.2554621849,0.1512605042,0.08907563025,0.2672268908,0.008403361345,0,0.04705882353,0.07226890756,0.02521008403,0.006722689076,0,0.005042016807,0.1798319328,0.07058823529,0.6050420168,0.06386554622,0,0,0,0.03529411765,0,0,0,0,0,0,0.01680672269,0,0.2,0.0268907563,0.02352941176,0.07058823529,0.09075630252,0.1058823529,0.1193277311,0.1008403361,0.09243697479,0.05546218487,0.05546218487,0.1075630252,0.08235294118,0.06890756303,0.02521008403,0.003361344538,0.001680672269,0.01008403361,0.003361344538,0.003361344538,0.006722689076,0.01848739496,0.01344537815,0.01008403361,0.0218487395,0.04537815126,0.1630252101,0.08403361345,0.02016806723,0.02857142857,0.04705882353,0.02521008403,0.006722689076,0.01680672269,0.01848739496,0.02521008403,0.08907563025,0.01176470588,0.02857142857,0.04201680672,0.08739495798,0.04705882353,0.006722689076,0.005042016807,0.008403361345,0.001680672269,0.008403361345,0.01008403361,0.001680672269,0.003361344538,0.003361344538,0.003361344538,0.003361344538,0.0218487395,0.001680672269,0.005042016807,0.001680672269,0.001680672269,0.003361344538,0,0.005042016807
